proyecto,id_expediente,tipo,estado,region,hito_pre_adenda,tiene_icsara,n_pacs,n_adendas,n_icsaras,dias_ingreso_a_admisibilidad,dias_admisibilidad_a_solicitud,dias_solicitud_a_icsara1,dias_icsara1_a_pac1,dias_pre_adenda_a_adenda1,dias_solicitud_a_ice,dias_ultima_adenda_a_ice,dias_ice_a_rca,dias_totales_ingreso_a_rca,dias_habiles_ingreso_a_admisibilidad,dias_habiles_admisibilidad_a_solicitud,dias_habiles_solicitud_a_icsara1,dias_habiles_icsara1_a_pac1,dias_habiles_pre_adenda_a_adenda1,dias_habiles_solicitud_a_ice,dias_habiles_ultima_adenda_a_ice,dias_habiles_ice_a_rca,dias_habiles_totales_ingreso_a_rca
Parque fotovoltaico con capacidad de almacenamiento Gaviota Solar,2164246345,DIA,Aprobado,Región de Antofagasta,ICSARA,True,0,2,2,6,0,42,,140,314,26,33,353,4,0,30,,95,215,18,20,239
"Ampliación Campaña de Sondajes de Exploración, El Abra",2164081430,DIA,Aprobado,Región de Antofagasta,PAC,True,1,2,2,6,0,42,96,31,288,27,26,320,4,0,30,65,22,198,19,17,219
Parque Fotovoltaico con capacidad de almacenamiento Gaviota Solar,2164102638,DIA,Otro,Región de Antofagasta,,False,0,0,0,6,,,,,,,,,4,,,,,,,,
Proyecto Minero de Cobre Óxidos Marimaca,2163952036,DIA,Aprobado,Región de Antofagasta,PAC,True,1,2,2,7,0,42,130,30,299,23,27,333,4,0,30,88,21,205,17,18,227
Modificación Pila de Lixiviación Sulfolix El Abra,2163859477,DIA,Aprobado,Región de Antofagasta,PAC,True,2,2,2,7,0,44,76,43,267,23,26,300,5,0,30,54,28,183,17,16,204
Modificación de la Etapa II del Parque Eólico Antofagasta,2163775189,DIA,Aprobado,Región de Antofagasta,ICSARA,True,1,2,2,6,0,46,149,130,273,28,26,305,4,0,30,103,91,187,19,16,207
Continuidad Operacional y Modificaciones Proyecto Ecometales,2163780303,DIA,Aprobado,Región de Antofagasta,PAC,True,2,2,2,6,0,44,124,11,345,27,27,378,4,0,30,86,8,236,18,18,258
Continuidad Operacional y Modificaciones Proyecto EcoMetales,2163678423,DIA,Desistido,Región de Antofagasta,,False,0,0,0,,,,,,,,,,,,,,,,,,
Explotación Mina Aguilucho,2163480685,DIA,Aprobado,Región de Antofagasta,ICSARA,True,0,2,2,5,0,41,,127,317,29,25,347,3,0,29,,88,217,19,17,237
"Extensión vida útil y mejoras operativas Unidad 3, Central Térmica Mejillones",2163247837,DIA,Aprobado,Región de Antofagasta,PAC,True,2,2,2,10,0,42,108,41,367,27,25,402,4,0,30,76,27,252,18,17,273
Modificación de las Instalaciones productivas y transporte de nitratos faena minera Coya Sur,2163446141,DIA,Aprobado,Región de Antofagasta,ICSARA,True,0,2,2,7,0,44,,146,330,26,26,363,5,0,30,,101,226,18,16,247
Bodegas Sustancias Peligrosas FG,2163245108,DIA,Aprobado,Región de Antofagasta,ICSARA,True,0,2,2,5,0,44,,188,352,25,24,381,3,0,30,,129,240,17,16,259
Modificación Faena Minera Pampa Blanca mediante la Incorporación de nueva área de acopio de sales de descarte,2163225770,DIA,Aprobado,Región de Antofagasta,ICSARA,True,0,2,2,6,0,44,,78,269,28,25,300,4,0,30,,54,185,19,16,205
Nuevos Polvorines Planta Río Loa,2162900591,DIA,Otro,Región de Antofagasta,,False,0,0,0,9,,,,,,,,,2,,,,,,,,
"Nueva Subestación Eléctrica Seccionadora Llullaillaco y Línea de Seccionamiento, Ruta 5 Norte Km 1.207",2163217753,DIA,Aprobado,Región de Antofagasta,ICSARA,True,0,2,2,3,0,47,,91,260,31,25,288,3,0,30,,61,176,21,16,195
Construcción Línea de Transmisión Eléctrica Soterrada Alternativa para la Planta Desaladora Antofagasta,2163156714,DIA,Aprobado,Región de Antofagasta,ICSARA,True,0,2,2,3,0,45,,64,198,26,22,223,1,0,30,,43,135,18,16,152
"Nueva Subestación Eléctrica Seccionadora Llullaillaco y Línea de Seccionamiento, Ruta 5 Norte Km 1.207",2162750184,DIA,Desistido,Región de Antofagasta,,False,0,0,0,,,,,,,,,,,,,,,,,,
Bodegas Sustancias Peligrosas FG,2163034359,DIA,Desistido,Región de Antofagasta,,False,0,0,0,,,,,,,,,,,,,,,,,,
Construcción Línea de Transmisión Eléctrica Soterrada Alternativa para la Planta Desaladora Antofagasta,2163075467,DIA,Desistido,Región de Antofagasta,,False,0,0,0,,,,,,,,,,,,,,,,,,
Nuevos Polvorines Planta Río Loa,2162701869,DIA,Desistido,Región de Antofagasta,,False,0,0,0,,,,,,,,,,,,,,,,,,
Transporte Terrestre de Óxido cálcico en la Región de Antofagasta: Incremento en la Frecuencia,2162687606,DIA,Aprobado,Región de Antofagasta,ICSARA,True,0,2,2,6,0,43,,83,227,22,22,255,4,0,30,,54,155,16,16,175
Parque Fotovoltaico Altos del Sol,2162563843,DIA,Aprobado,Región de Antofagasta,ICSARA,True,0,2,2,10,0,43,,93,247,23,22,279,5,0,30,,62,169,17,16,190
"Envasado, Carguío y Despacho de Ácido Nítrico",2162602850,DIA,Aprobado,Región de Antofagasta,ICSARA,True,0,2,2,6,0,43,,123,330,27,25,361,3,0,30,,81,225,18,16,244
Modificación de instalaciones de Antofagasta Terminal Internacional: Habilitación de zona de acopios transitorios de contenedores con mercancías peligrosas,2162572486,DIA,Aprobado,Región de Antofagasta,ICSARA,True,0,2,2,7,0,44,,230,400,26,22,429,5,0,30,,157,271,17,16,292
Implementación de Sistema de Electrificación de Camiones Mineros en Escondida Norte,2162229068,DIA,Aprobado,Región de Antofagasta,ICSARA,True,0,2,2,6,0,44,,70,199,23,22,227,4,0,30,,47,134,16,16,154
Polvorines Planta Río Loa,2162437217,DIA,Otro,Región de Antofagasta,,False,0,0,0,7,,,,,,,,,5,,,,,,,,
Aumento Vida Útil Áreas de Lixiviación Sulfuros Baja Ley División Chuquicamata,2162192342,DIA,Aprobado,Región de Antofagasta,PAC,True,2,2,2,6,0,44,105,83,513,23,25,544,4,0,30,69,57,348,16,17,369
Actualización proyecto fotovoltaico La Sierra y modificación línea de evacuación eléctrica,2162162147,DIA,Aprobado,Región de Antofagasta,ICSARA,True,0,2,2,5,0,43,,82,242,28,23,270,2,0,30,,53,162,18,17,181
Parque Fotovoltaico Zaldivar,2162020978,DIA,Aprobado,Región de Antofagasta,ICSARA,True,0,2,2,7,0,39,,68,231,27,36,274,5,0,27,,46,155,18,25,185
Continuidad Operacional Mina Barreal Seco,2161876818,DIA,Aprobado,Región de Antofagasta,PAC,True,1,2,2,6,0,44,193,28,384,28,22,412,4,0,30,129,19,260,18,16,280
Continuidad Operacional Central Térmica Taltal,2161780033,DIA,Aprobado,Región de Antofagasta,PAC,True,1,2,2,3,0,46,156,35,369,28,26,398,3,0,30,104,25,250,19,16,269
"ESTACION DE TRANSFERENCIA Y CENTRO LOGISTICO DE CARGA, BODEGAS Y ALMACENAMIENTO DE SUSTANCIAS PELIGROSAS",2161911759,DIA,Aprobado,Región de Antofagasta,ICSARA,True,0,2,2,6,0,46,,191,400,25,25,431,4,0,30,,129,271,18,16,291
Explotación Mina Inesperada,2161844439,DIA,Desistido,Región de Antofagasta,ICSARA,True,0,0,1,3,0,46,,,,,,,3,0,30,,,,,,
ESTACION DE TRANSFERENCIA Y CENTRO LOGISTICO DE CARGA Y BODEGAS,2161787884,DIA,Otro,Región de Antofagasta,,False,0,0,0,7,,,,,,,,,5,,,,,,,,
Modificación de proyecto Parque Eólico Horizonte,2161569727,DIA,Aprobado,Región de Antofagasta,PAC,True,1,2,2,8,0,45,142,21,383,27,23,414,5,0,30,95,15,260,18,16,281
Explotación Mina Inesperada,2161776506,DIA,Desistido,Región de Antofagasta,,False,0,0,0,,,,,,,,,,,,,,,,,,
TRANSPORTE DE ÁCIDO SULFÚRICO EN TRACTOCAMIONES HACIA MINERA ESCONDIDA Y MINERA ZALDÍVAR DESDE PUNTOS DE DESPACHO DE LA REGIÓN DE ANTOFAGASTA,2161233608,DIA,Aprobado,Región de Antofagasta,ICSARA,True,0,2,2,6,0,42,,317,486,28,25,517,4,0,30,,214,332,19,16,352
Parque Fotovoltaico Los Durmientes,2161095944,DIA,Aprobado,Región de Antofagasta,PAC,True,1,2,2,5,0,42,85,271,542,25,24,571,3,0,30,58,183,370,18,16,389
Obras Complementarias y Ajustes Operacionales Mina Chuquicamata Subterránea,2161051918,DIA,Aprobado,Región de Antofagasta,ICSARA,True,0,2,2,5,0,42,,115,309,30,22,336,3,0,30,,79,210,20,16,229
Reúso de infraestructura de agua industrial,2161113857,DIA,Aprobado,Región de Antofagasta,ICSARA,True,0,2,2,4,0,42,,106,238,26,28,270,2,0,30,,73,164,18,17,183
Modificaciones al Parque Eólico Lomas de Taltal,2160888313,DIA,Aprobado,Región de Antofagasta,PAC,True,1,2,2,8,0,41,91,15,279,30,25,312,5,0,29,63,10,190,19,15,210
Arena BESS,2160777918,DIA,Aprobado,Región de Antofagasta,PAC,True,1,2,2,5,0,44,91,28,247,23,21,273,3,0,30,63,19,169,16,15,187
Actualización Planta Recuperadora de Metales,2160761683,DIA,No calificado,Región de Antofagasta,,False,0,0,0,1,0,,,,,,,,1,0,,,,,,,
Planta de Producción de Hidrógeno Verde para el Distrito Minero de Calama,2160619522,DIA,Aprobado,Región de Antofagasta,ICSARA,True,0,2,2,2,0,44,,209,615,26,22,639,2,0,30,,143,418,17,16,436
Continuidad Operacional Central Térmica Atacama,2160483691,DIA,Aprobado,Región de Antofagasta,ICSARA,True,0,2,2,5,0,69,,70,239,23,22,266,3,0,46,,49,163,16,16,182
Modificación Línea de Transmisión 2 X 220 kV Crucero - El Abra,2160461467,DIA,Aprobado,Región de Antofagasta,ICSARA,True,0,2,2,4,0,45,,88,342,28,28,374,2,0,30,,61,232,20,18,252
